year,driver_num,driver_id,circuit,lap,position,gap_ahead,net_gain
2018,44,hamilton,monza,1.0,3.0,193.12888888888483,193.12888888888483
2018,44,hamilton,monza,2.0,2.0,95.70388888888192,-136.35861111111805
2018,44,hamilton,monza,3.0,2.0,38.41555555555351,-35.15277777777983
2018,44,hamilton,monza,4.0,2.0,96.59833333333609,74.34638888889165
2018,44,hamilton,monza,5.0,2.0,112.13861111110782,39.05388888888561
2018,44,hamilton,monza,6.0,2.0,101.82500000000073,15.400000000000716
2018,44,hamilton,monza,7.0,2.0,122.24888888889018,37.849166666667955
2018,44,hamilton,monza,8.0,2.0,119.92166666666708,16.737777777778206
2018,44,hamilton,monza,9.0,2.0,107.87722222222783,10.131388888894477
2018,44,hamilton,monza,10.0,2.0,127.28611111111059,44.00305555555504
2018,44,hamilton,monza,11.0,2.0,131.3697222222272,27.906111111116104
2018,44,hamilton,monza,12.0,2.0,116.34361111111048,6.691666666666038
2018,44,hamilton,monza,13.0,2.0,123.32111111110953,27.866388888887315
2018,44,hamilton,monza,14.0,2.0,134.06944444444525,33.0202777777786
2018,44,hamilton,monza,15.0,2.0,149.9074999999957,35.50444444444014
2018,44,hamilton,monza,16.0,2.0,129.50000000000182,-0.4974999999981833
2018,44,hamilton,monza,17.0,2.0,108.36805555555475,2.7172222222214373
2018,44,hamilton,monza,18.0,2.0,102.98138888889025,13.19027777777913
2018,44,hamilton,monza,19.0,2.0,112.47805555555715,27.59055555555716
2018,44,hamilton,monza,20.0,1.0,13.196944444441215,-75.46472222222542
2018,44,hamilton,monza,21.0,1.0,,
2018,44,hamilton,monza,22.0,1.0,,
2018,44,hamilton,monza,23.0,1.0,,
2018,44,hamilton,monza,24.0,1.0,,
2018,44,hamilton,monza,25.0,1.0,,
2018,44,hamilton,monza,26.0,1.0,,
2018,44,hamilton,monza,27.0,1.0,,
2018,44,hamilton,monza,28.0,1.0,,
2018,44,hamilton,monza,29.0,3.0,447.0316666666622,438.3616666666622
2018,44,hamilton,monza,30.0,3.0,319.58111111111157,-157.05611111111068
2018,44,hamilton,monza,31.0,3.0,231.797222222227,-101.5088888888842
2018,44,hamilton,monza,32.0,3.0,143.98777777778196,-91.26277777777352
2018,44,hamilton,monza,33.0,3.0,56.966111111111786,-84.65305555555486
2018,44,hamilton,monza,34.0,3.0,78.90555555555602,33.49555555555601
2018,44,hamilton,monza,35.0,3.0,100.00222222222237,34.27111111111125
2018,44,hamilton,monza,36.0,2.0,100.42527777778105,16.791666666669954
2018,44,hamilton,monza,37.0,2.0,109.27861111111906,20.463611111119064
2018,44,hamilton,monza,38.0,2.0,114.33777777777505,25.180833333330597
2018,44,hamilton,monza,39.0,2.0,95.22833333333529,2.6666666666686183
2018,44,hamilton,monza,40.0,2.0,106.32222222221208,29.793611111100958
2018,44,hamilton,monza,41.0,2.0,97.79388888889207,7.496666666669853
2018,44,hamilton,monza,42.0,2.0,76.76833333333161,-2.130000000001715
2018,44,hamilton,monza,43.0,2.0,82.62777777778047,23.805555555558243
2018,44,hamilton,monza,44.0,2.0,59.77000000000771,-2.852777777770058
2018,44,hamilton,monza,45.0,1.0,0.36694444444492547,-44.954444444443965
2018,44,hamilton,monza,46.0,1.0,,
2018,44,hamilton,monza,47.0,1.0,,
2018,44,hamilton,monza,48.0,1.0,,
2018,44,hamilton,monza,49.0,1.0,,
2018,44,hamilton,monza,50.0,1.0,,
2018,44,hamilton,monza,51.0,1.0,,
2018,44,hamilton,monza,52.0,1.0,,
2018,44,hamilton,monza,53.0,1.0,,
2018,7,raikkonen,monza,1.0,1.0,1.199999999999136,1.199999999999136
2018,7,raikkonen,monza,2.0,1.0,,
2018,7,raikkonen,monza,3.0,1.0,,
2018,7,raikkonen,monza,4.0,1.0,0.2044444444459259,-0.6738888888872907
2018,7,raikkonen,monza,5.0,1.0,,
2018,7,raikkonen,monza,6.0,1.0,,
2018,7,raikkonen,monza,7.0,1.0,,
2018,7,raikkonen,monza,8.0,1.0,,
2018,7,raikkonen,monza,9.0,1.0,,
2018,7,raikkonen,monza,10.0,1.0,,
2018,7,raikkonen,monza,11.0,1.0,,
2018,7,raikkonen,monza,12.0,1.0,,
2018,7,raikkonen,monza,13.0,1.0,,
2018,7,raikkonen,monza,14.0,1.0,,
2018,7,raikkonen,monza,15.0,1.0,,
2018,7,raikkonen,monza,16.0,1.0,,
2018,7,raikkonen,monza,17.0,1.0,,
2018,7,raikkonen,monza,18.0,1.0,,
2018,7,raikkonen,monza,19.0,1.0,,
2018,7,raikkonen,monza,20.0,2.0,297.47861111111524,295.74222222222215
2018,7,raikkonen,monza,21.0,4.0,804.703333333332,449.4163888888876
