number,driver,constructor,position,grid,year
1,michael_schumacher,ferrari,1.0,1.0,2004
2,barrichello,ferrari,2.0,2.0,2004
9,button,bar,3.0,6.0,2004
7,trulli,renault,4.0,7.0,2004
10,sato,bar,5.0,5.0,2004
8,alonso,renault,6.0,16.0,2004
4,ralf_schumacher,williams,7.0,4.0,2004
14,webber,jaguar,8.0,14.0,2004
17,panis,toyota,9.0,8.0,2004
16,matta,toyota,10.0,9.0,2004
11,fisichella,sauber,11.0,11.0,2004
12,massa,sauber,12.0,13.0,2004
3,montoya,williams,13.0,3.0,2004
15,klien,jaguar,14.0,12.0,2004
18,heidfeld,jordan,15.0,18.0,2004
19,pantano,jordan,16.0,15.0,2004
20,bruni,minardi,17.0,17.0,2004
5,coulthard,mclaren,18.0,10.0,2004
21,baumgartner,minardi,19.0,20.0,2004
6,raikkonen,mclaren,20.0,19.0,2004
5,alonso,renault,1.0,1.0,2005
16,trulli,toyota,2.0,3.0,2005
9,raikkonen,mclaren,3.0,9.0,2005
17,ralf_schumacher,toyota,4.0,6.0,2005
10,rosa,mclaren,5.0,8.0,2005
7,webber,williams,6.0,5.0,2005
12,massa,sauber,7.0,12.0,2005
14,coulthard,red_bull,8.0,14.0,2005
2,barrichello,ferrari,9.0,20.0,2005
18,monteiro,jordan,10.0,16.0,2005
11,villeneuve,sauber,11.0,15.0,2005
20,friesacher,minardi,12.0,19.0,2005
21,albers,minardi,13.0,18.0,2005
3,button,bar,14.0,11.0,2005
4,sato,bar,15.0,13.0,2005
8,heidfeld,williams,16.0,4.0,2005
1,michael_schumacher,ferrari,17.0,2.0,2005
6,fisichella,renault,18.0,10.0,2005
19,karthikeyan,jordan,19.0,17.0,2005
15,klien,red_bull,20.0,7.0,2005
1,alonso,renault,1.0,4.0,2006
5,michael_schumacher,ferrari,2.0,1.0,2006
3,raikkonen,mclaren,3.0,22.0,2006
12,button,honda,4.0,3.0,2006
4,montoya,mclaren,5.0,5.0,2006
9,webber,williams,6.0,7.0,2006
10,rosberg,williams,7.0,12.0,2006
15,klien,red_bull,8.0,8.0,2006
6,massa,ferrari,9.0,2.0,2006
14,coulthard,red_bull,10.0,13.0,2006
20,liuzzi,toro_rosso,11.0,15.0,2006
16,heidfeld,bmw_sauber,12.0,10.0,2006
21,speed,toro_rosso,13.0,16.0,2006
7,ralf_schumacher,toyota,14.0,17.0,2006
11,barrichello,honda,15.0,6.0,2006
8,trulli,toyota,16.0,14.0,2006
18,monteiro,mf1,17.0,19.0,2006
22,sato,super_aguri,18.0,20.0,2006
23,ide,super_aguri,19.0,21.0,2006
17,villeneuve,bmw_sauber,20.0,11.0,2006
2,fisichella,renault,21.0,9.0,2006
19,albers,mf1,22.0,18.0,2006
5,massa,ferrari,1.0,1.0,2007
2,hamilton,mclaren,2.0,2.0,2007
6,raikkonen,ferrari,3.0,3.0,2007
9,heidfeld,bmw_sauber,4.0,5.0,2007
1,alonso,mclaren,5.0,4.0,2007
10,kubica,bmw_sauber,6.0,6.0,2007
12,trulli,toyota,7.0,9.0,2007
3,fisichella,renault,8.0,7.0,2007
4,kovalainen,renault,9.0,12.0,2007
16,rosberg,williams,10.0,10.0,2007
17,wurz,williams,11.0,11.0,2007
11,ralf_schumacher,toyota,12.0,14.0,2007
8,barrichello,honda,13.0,15.0,2007
21,albers,spyker,14.0,22.0,2007
20,sutil,spyker,15.0,20.0,2007
23,davidson,super_aguri,16.0,13.0,2007
15,webber,red_bull,17.0,8.0,2007
14,coulthard,red_bull,18.0,21.0,2007
22,sato,super_aguri,19.0,17.0,2007
18,liuzzi,toro_rosso,20.0,18.0,2007
7,button,honda,21.0,16.0,2007
19,speed,toro_rosso,22.0,19.0,2007
2,massa,ferrari,1.0,2.0,2008
1,raikkonen,ferrari,2.0,4.0,2008
4,kubica,bmw_sauber,3.0,1.0,2008
3,heidfeld,bmw_sauber,4.0,6.0,2008
23,kovalainen,mclaren,5.0,5.0,2008
11,trulli,toyota,6.0,7.0,2008
10,webber,red_bull,7.0,11.0,2008
7,rosberg,williams,8.0,8.0,2008
12,glock,toyota,9.0,13.0,2008
5,alonso,renault,10.0,10.0,2008
17,barrichello,honda,11.0,12.0,2008
21,fisichella,force_india,12.0,18.0,2008
22,hamilton,mclaren,13.0,3.0,2008
8,nakajima,williams,14.0,16.0,2008
14,bourdais,toro_rosso,15.0,15.0,2008
19,davidson,super_aguri,16.0,21.0,2008
18,sato,super_aguri,17.0,22.0,2008
9,coulthard,red_bull,18.0,17.0,2008
20,sutil,force_india,19.0,20.0,2008
6,piquet_jr,renault,20.0,14.0,2008
16,button,honda,21.0,9.0,2008
15,vettel,toro_rosso,22.0,19.0,2008
22,button,brawn,1.0,4.0,2009
15,vettel,red_bull,2.0,3.0,2009
9,trulli,toyota,3.0,1.0,2009
1,hamilton,mclaren,4.0,5.0,2009
23,barrichello,brawn,5.0,6.0,2009
4,raikkonen,ferrari,6.0,10.0,2009
10,glock,toyota,7.0,2.0,2009
7,alonso,renault,8.0,7.0,2009
16,rosberg,williams,9.0,9.0,2009
8,piquet_jr,renault,10.0,15.0,2009
14,webber,red_bull,11.0,18.0,2009
2,kovalainen,mclaren,12.0,11.0,2009
11,bourdais,toro_rosso,13.0,20.0,2009
3,massa,ferrari,14.0,8.0,2009
21,fisichella,force_india,15.0,17.0,2009
20,sutil,force_india,16.0,19.0,2009
12,buemi,toro_rosso,17.0,16.0,2009
5,kubica,bmw_sauber,18.0,13.0,2009
6,heidfeld,bmw_sauber,19.0,14.0,2009
17,nakajima,williams,20.0,12.0,2009
8,alonso,ferrari,1.0,3.0,2010
7,massa,ferrari,2.0,2.0,2010
2,hamilton,mclaren,3.0,4.0,2010
5,vettel,red_bull,4.0,1.0,2010
4,rosberg,mercedes,5.0,5.0,2010
3,michael_schumacher,mercedes,6.0,7.0,2010
1,button,mclaren,7.0,8.0,2010
6,webber,red_bull,8.0,6.0,2010
15,liuzzi,force_india,9.0,12.0,2010
9,barrichello,williams,10.0,11.0,2010
11,kubica,renault,11.0,9.0,2010
14,sutil,force_india,12.0,10.0,2010
17,alguersuari,toro_rosso,13.0,18.0,2010
10,hulkenberg,williams,14.0,13.0,2010
19,kovalainen,lotus_racing,15.0,21.0,2010
16,buemi,toro_rosso,16.0,15.0,2010
18,trulli,lotus_racing,17.0,20.0,2010
22,rosa,sauber,18.0,14.0,2010
21,bruno_senna,hrt,19.0,23.0,2010
24,glock,virgin,20.0,19.0,2010
12,petrov,renault,21.0,17.0,2010
